"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.669764630E-1,8.464609832E-2,-3.409772366E-2,9.809675217E0
4.694617240E-1,1.109671518E-1,-1.495514158E-2,9.809675217E0
4.719469840E-1,1.277169138E-1,-7.776673418E-3,9.790533066E0
4.744322440E-1,1.085743308E-1,-2.213360928E-2,9.783354759E0
4.769175050E-1,1.109671518E-1,-2.452643216E-2,9.804889679E0
4.794028170E-1,1.253240854E-1,-3.170489892E-2,9.797711372E0
4.818880780E-1,1.085743308E-1,-1.256231871E-2,9.797711372E0
4.843733380E-1,1.396810263E-1,-5.982056609E-4,9.790533066E0
4.868585990E-1,1.181456149E-1,-1.974078640E-2,9.795318604E0
4.893438590E-1,1.372881979E-1,-1.495514158E-2,9.797711372E0
4.918291190E-1,1.205384433E-1,-3.170489892E-2,9.804889679E0
4.943144320E-1,1.372881979E-1,-4.636093974E-2,9.809675217E0
4.967996920E-1,1.253240854E-1,-2.991028363E-3,9.797711372E0
4.992849530E-1,1.229312643E-1,-5.383851007E-3,9.785747528E0
5.017702130E-1,1.348953694E-1,-2.213360928E-2,9.790533066E0
5.042554740E-1,9.421738982E-2,-2.991028363E-3,9.797711372E0
5.067407340E-1,1.229312643E-1,-2.691925503E-2,9.800104141E0
5.092259940E-1,1.229312643E-1,-4.396811500E-2,9.795318604E0
5.117113070E-1,1.325025558E-1,-1.495514158E-2,9.785747528E0
5.141965670E-1,1.396810263E-1,-7.776673418E-3,9.807282448E0
5.166818280E-1,1.372881979E-1,-1.734796353E-2,9.800104141E0
5.191670880E-1,1.229312643E-1,-1.256231871E-2,9.795318604E0
5.216523490E-1,1.325025558E-1,1.794616925E-3,9.800104141E0
5.241376090E-1,1.205384433E-1,-1.016949583E-2,9.792925835E0
5.266228690E-1,1.253240854E-1,-2.931207791E-2,9.804889679E0
5.291081820E-1,1.181456149E-1,-1.734796353E-2,9.816853523E0
5.315934420E-1,1.229312643E-1,-2.931207791E-2,9.800104141E0
5.340787030E-1,1.061815023E-1,-3.170489892E-2,9.800104141E0
5.365639630E-1,1.013958603E-1,-1.734796353E-2,9.795318604E0
5.390492240E-1,1.229312643E-1,-2.931207791E-2,9.790533066E0
5.415344840E-1,9.421738982E-2,-7.776673418E-3,9.795318604E0
5.440197970E-1,8.464609832E-2,-2.452643216E-2,9.812067986E0
5.465050570E-1,1.181456149E-1,-2.452643216E-2,9.807282448E0
5.489903170E-1,9.900303930E-2,-1.734796353E-2,9.802496910E0
5.514755780E-1,9.661021084E-2,-1.974078640E-2,9.807282448E0
5.539608380E-1,1.133599728E-1,-3.649054468E-2,9.812067986E0
5.564460990E-1,9.661021084E-2,-3.649054468E-2,9.795318604E0
5.589314110E-1,9.421738982E-2,-2.691925503E-2,9.788140297E0
5.614166720E-1,1.037886813E-1,-1.495514158E-2,9.778569221E0
5.639019320E-1,8.943174779E-2,-3.649054468E-2,9.785747528E0
5.663871920E-1,1.157527938E-1,-1.495514158E-2,9.807282448E0
5.688724530E-1,1.277169138E-1,-1.734796353E-2,9.792925835E0
5.713577130E-1,1.109671518E-1,-1.974078640E-2,9.821640015E0
5.738430260E-1,1.037886813E-1,-1.016949583E-2,9.788140297E0
5.763282860E-1,1.420738399E-1,-1.734796353E-2,9.800104141E0
5.788135470E-1,1.253240854E-1,-2.931207791E-2,9.804889679E0
5.812988070E-1,1.253240854E-1,-1.974078640E-2,9.792925835E0
5.837840670E-1,1.348953694E-1,-2.452643216E-2,9.802496910E0
5.862693280E-1,1.181456149E-1,-3.170489892E-2,9.790533066E0
5.887546400E-1,1.348953694E-1,6.580262445E-3,9.795318604E0
5.912399010E-1,1.372881979E-1,-2.452643216E-2,9.792925835E0
5.937251610E-1,1.348953694E-1,-3.649054468E-2,9.814460754E0
5.962104220E-1,9.900303930E-2,-1.734796353E-2,9.773782730E0
5.986956820E-1,1.181456149E-1,-1.495514158E-2,9.792925835E0
6.011809940E-1,1.277169138E-1,-2.691925503E-2,9.797711372E0
6.036662550E-1,1.301097274E-1,-1.734796353E-2,9.802496910E0
6.061515150E-1,1.301097274E-1,-1.495514158E-2,9.800104141E0
6.086367760E-1,1.372881979E-1,-3.888336942E-2,9.804889679E0
6.111220360E-1,1.133599728E-1,-1.974078640E-2,9.778569221E0
6.136072970E-1,1.372881979E-1,-4.396811500E-2,9.785747528E0
6.160925570E-1,1.181456149E-1,-5.353940651E-2,9.812067986E0
6.185778690E-1,1.133599728E-1,-2.452643216E-2,9.797711372E0
6.210631300E-1,1.157527938E-1,-2.931207791E-2,9.804889679E0
6.235483900E-1,9.421738982E-2,-4.127619043E-2,9.814460754E0
6.260336510E-1,1.157527938E-1,-7.776673418E-3,9.778569221E0
6.285189110E-1,1.085743308E-1,-3.170489892E-2,9.780961990E0
