"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.621934940E-1,3.054236295E-4,-2.214321401E-3,-2.290677221E-4
7.646787550E-1,3.054236295E-4,-2.214321401E-3,9.926267667E-4
7.671640150E-1,-2.137965523E-3,-2.214321401E-3,9.926267667E-4
7.696493280E-1,-1.527118147E-3,-3.817795368E-4,3.817795368E-4
7.721345880E-1,-1.527118147E-3,-1.603474026E-3,-1.450762269E-3
7.746198490E-1,-2.137965523E-3,-2.214321401E-3,-8.399150101E-4
7.771051090E-1,-2.137965523E-3,-2.214321401E-3,-3.283303929E-3
7.795903690E-1,-9.162708884E-4,-9.926267667E-4,1.603474026E-3
7.820756820E-1,3.054236295E-4,-3.817795368E-4,3.817795368E-4
7.845609420E-1,3.054236295E-4,-1.603474026E-3,3.817795368E-4
7.870462030E-1,-3.054236295E-4,-2.214321401E-3,1.603474026E-3
7.895314630E-1,-3.054236295E-4,2.290677221E-4,-8.399150101E-4
7.920167240E-1,-3.054236295E-4,-3.817795368E-4,-1.450762269E-3
7.945019840E-1,-3.054236295E-4,-2.214321401E-3,-2.290677221E-4
7.969872970E-1,3.054236295E-4,-2.214321401E-3,-8.399150101E-4
7.994725570E-1,-3.054236295E-4,-1.603474026E-3,9.926267667E-4
8.019578170E-1,-1.527118147E-3,-1.603474026E-3,9.926267667E-4
8.044430780E-1,-3.054236295E-4,-2.214321401E-3,1.603474026E-3
8.069283380E-1,-9.162708884E-4,-1.603474026E-3,3.817795368E-4
8.094135990E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
8.118989110E-1,-3.054236295E-4,2.290677221E-4,-2.290677221E-4
8.143841720E-1,3.054236295E-4,-1.603474026E-3,3.817795368E-4
8.168694320E-1,-3.054236295E-4,-9.926267667E-4,3.817795368E-4
8.193547440E-1,-3.054236295E-4,-9.926267667E-4,3.817795368E-4
8.218400050E-1,-2.137965523E-3,-1.603474026E-3,3.817795368E-4
8.243252650E-1,-1.527118147E-3,-2.214321401E-3,9.926267667E-4
8.268105260E-1,-9.162708884E-4,-9.926267667E-4,3.817795368E-4
8.292957860E-1,-9.162708884E-4,-2.825168660E-3,-2.290677221E-4
8.317810470E-1,-9.162708884E-4,-2.825168660E-3,-2.290677221E-4
8.342663590E-1,-1.527118147E-3,-3.436015919E-3,3.817795368E-4
8.367516190E-1,-1.527118147E-3,-2.825168660E-3,-2.290677221E-4
8.392368800E-1,-9.162708884E-4,-2.214321401E-3,-2.290677221E-4
8.417221400E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
8.442074010E-1,-2.137965523E-3,-2.214321401E-3,3.817795368E-4
8.466927130E-1,-1.527118147E-3,-9.926267667E-4,3.817795368E-4
8.491779740E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
8.516632340E-1,-1.527118147E-3,-2.214321401E-3,3.817795368E-4
8.541484940E-1,-9.162708884E-4,-1.603474026E-3,9.926267667E-4
8.566337550E-1,-1.527118147E-3,-3.817795368E-4,3.817795368E-4
8.591190670E-1,-3.054236295E-4,-3.817795368E-4,9.926267667E-4
8.616043280E-1,-1.527118147E-3,-2.214321401E-3,-2.290677221E-4
8.640895880E-1,-9.162708884E-4,-1.603474026E-3,3.817795368E-4
8.665748490E-1,-1.527118147E-3,-2.825168660E-3,3.817795368E-4
8.690601090E-1,3.054236295E-4,-1.603474026E-3,9.926267667E-4
8.715454220E-1,-1.527118147E-3,-1.603474026E-3,9.926267667E-4
8.740306820E-1,-9.162708884E-4,-3.817795368E-4,-2.290677221E-4
8.765159420E-1,9.162708884E-4,-9.926267667E-4,3.817795368E-4
8.790012030E-1,-1.527118147E-3,-1.603474026E-3,9.926267667E-4
8.814864630E-1,3.054236295E-4,-3.817795368E-4,3.817795368E-4
8.839717760E-1,-9.162708884E-4,-9.926267667E-4,-2.290677221E-4
8.864570360E-1,-3.054236295E-4,-1.603474026E-3,3.817795368E-4
8.889422970E-1,-3.054236295E-4,-1.603474026E-3,3.817795368E-4
8.914275570E-1,-3.054236295E-4,-9.926267667E-4,-2.290677221E-4
8.939128170E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
8.963981300E-1,-2.748812549E-3,-2.825168660E-3,2.214321401E-3
8.988833900E-1,-2.137965523E-3,-1.603474026E-3,1.603474026E-3
9.013686510E-1,-3.054236295E-4,-9.926267667E-4,1.603474026E-3
9.038539110E-1,-3.054236295E-4,-1.603474026E-3,-8.399150101E-4
9.063392240E-1,-9.162708884E-4,-2.825168660E-3,3.817795368E-4
9.088244840E-1,-1.527118147E-3,-3.436015919E-3,-2.290677221E-4
9.113097440E-1,-1.527118147E-3,-2.214321401E-3,3.817795368E-4
9.137950050E-1,-1.527118147E-3,-2.214321401E-3,1.603474026E-3
9.162802650E-1,-9.162708884E-4,-1.603474026E-3,9.926267667E-4
9.187655260E-1,-1.527118147E-3,-1.603474026E-3,9.926267667E-4
9.212508380E-1,-2.748812549E-3,-2.214321401E-3,1.603474026E-3
9.237360990E-1,-3.054236295E-4,-2.825168660E-3,9.926267667E-4
9.262213590E-1,-9.162708884E-4,-2.825168660E-3,1.603474026E-3
